date,time,week,location
2020-08-18,09:30:00,34,1
2020-08-18,10:00:00,34,1
2020-08-18,10:30:00,34,1
2020-08-18,11:00:00,34,1
2020-08-18,11:30:00,34,1
2020-08-18,12:00:00,34,1
2020-08-18,12:30:00,34,1
2020-08-18,13:00:00,34,1
2020-08-18,13:30:00,34,1
2020-08-18,14:00:00,34,1
2020-08-18,14:30:00,34,1
2020-08-18,15:00:00,34,1
2020-08-18,15:30:00,34,1
2020-08-18,16:00:00,34,1
2020-08-18,16:30:00,34,1
2020-08-18,17:00:00,34,1
2020-08-18,17:30:00,34,1
2020-08-18,18:00:00,34,1
2020-08-19,08:00:00,34,1
2020-08-19,08:30:00,34,1
2020-08-19,09:00:00,34,1
2020-08-19,09:30:00,34,1
2020-08-19,10:00:00,34,1
2020-08-19,10:30:00,34,1
2020-08-19,11:00:00,34,1
2020-08-19,11:30:00,34,1
2020-08-19,12:00:00,34,1
2020-08-19,12:30:00,34,1
2020-08-19,13:00:00,34,1
2020-08-19,13:30:00,34,1
2020-08-19,14:00:00,34,1
2020-08-19,14:30:00,34,1
2020-08-19,15:00:00,34,1
2020-08-19,15:30:00,34,1
2020-08-19,16:00:00,34,1
2020-08-19,16:30:00,34,1
2020-08-19,17:00:00,34,1
2020-08-19,17:30:00,34,1
2020-08-19,18:00:00,34,1
2020-08-20,08:00:00,34,1
2020-08-20,08:30:00,34,1
2020-08-20,09:00:00,34,1
2020-08-20,09:30:00,34,1
2020-08-20,10:00:00,34,1
2020-08-20,10:30:00,34,1
2020-08-20,11:00:00,34,1
2020-08-20,11:30:00,34,1
2020-08-20,12:00:00,34,1
2020-08-20,12:30:00,34,1
2020-08-20,13:00:00,34,1
2020-08-20,13:30:00,34,1
2020-08-20,14:00:00,34,1
2020-08-20,14:30:00,34,1
2020-08-20,15:00:00,34,1
2020-08-20,15:30:00,34,1
2020-08-20,16:00:00,34,1
2020-08-20,16:30:00,34,1
2020-08-20,17:00:00,34,1
2020-08-20,17:30:00,34,1
2020-08-20,18:00:00,34,1
2020-08-21,08:00:00,34,1
2020-08-21,08:30:00,34,1
2020-08-21,09:00:00,34,1
2020-08-21,09:30:00,34,1
2020-08-21,10:00:00,34,1
2020-08-21,10:30:00,34,1
2020-08-21,11:00:00,34,1
2020-08-21,11:30:00,34,1
2020-08-21,12:00:00,34,1
2020-08-21,12:30:00,34,1
2020-08-21,13:00:00,34,1
2020-08-21,13:30:00,34,1
2020-08-21,14:00:00,34,1
2020-08-21,14:30:00,34,1
2020-08-21,15:00:00,34,1
2020-08-21,15:30:00,34,1
2020-08-21,16:00:00,34,1
2020-08-21,16:30:00,34,1
2020-08-21,17:00:00,34,1
2020-08-21,17:30:00,34,1
2020-08-21,18:00:00,34,1
2020-08-24,08:00:00,35,1
2020-08-24,08:30:00,35,1
2020-08-24,09:00:00,35,1
2020-08-24,09:30:00,35,1
2020-08-24,10:00:00,35,1
2020-08-24,10:30:00,35,1
2020-08-24,11:00:00,35,1
2020-08-24,11:30:00,35,1
2020-08-24,12:00:00,35,1
2020-08-24,12:30:00,35,1
2020-08-24,13:00:00,35,1
2020-08-24,13:30:00,35,1
2020-08-24,14:00:00,35,1
2020-08-24,14:30:00,35,1
2020-08-24,15:00:00,35,1
2020-08-24,15:30:00,35,1
2020-08-24,16:00:00,35,1
2020-08-24,16:30:00,35,1
2020-08-24,17:00:00,35,1
2020-08-24,17:30:00,35,1
2020-08-24,18:00:00,35,1
2020-08-25,08:00:00,35,1
2020-08-25,08:30:00,35,1
2020-08-25,09:00:00,35,1
2020-08-25,09:30:00,35,1
2020-08-25,10:00:00,35,1
2020-08-25,10:30:00,35,1
2020-08-25,11:00:00,35,1
2020-08-25,11:30:00,35,1
2020-08-25,12:00:00,35,1
2020-08-25,12:30:00,35,1
2020-08-25,13:00:00,35,1
2020-08-25,13:30:00,35,1
2020-08-25,14:00:00,35,1
2020-08-25,14:30:00,35,1
2020-08-25,15:00:00,35,1
2020-08-25,15:30:00,35,1
2020-08-25,16:00:00,35,1
2020-08-25,16:30:00,35,1
2020-08-25,17:00:00,35,1
2020-08-25,17:30:00,35,1
2020-08-25,18:00:00,35,1
2020-08-26,08:00:00,35,1
2020-08-26,08:30:00,35,1
2020-08-26,09:00:00,35,1
2020-08-26,09:30:00,35,1
2020-08-26,10:00:00,35,1
2020-08-26,10:30:00,35,1
2020-08-26,11:00:00,35,1
2020-08-26,11:30:00,35,1
2020-08-26,12:00:00,35,1
2020-08-26,12:30:00,35,1
2020-08-26,13:00:00,35,1
2020-08-26,13:30:00,35,1
2020-08-26,14:00:00,35,1
2020-08-26,14:30:00,35,1
2020-08-26,15:00:00,35,1
2020-08-26,15:30:00,35,1
2020-08-26,16:00:00,35,1
2020-08-26,16:30:00,35,1
2020-08-26,17:00:00,35,1
2020-08-26,17:30:00,35,1
2020-08-26,18:00:00,35,1
2020-08-27,08:00:00,35,1
2020-08-27,08:30:00,35,1
2020-08-27,09:00:00,35,1
2020-08-27,09:30:00,35,1
2020-08-27,10:00:00,35,1
2020-08-27,10:30:00,35,1
2020-08-27,11:00:00,35,1
2020-08-27,11:30:00,35,1
2020-08-27,12:00:00,35,1
2020-08-27,12:30:00,35,1
2020-08-27,13:00:00,35,1
2020-08-27,13:30:00,35,1
2020-08-27,14:00:00,35,1
2020-08-27,14:30:00,35,1
2020-08-27,15:00:00,35,1
2020-08-27,15:30:00,35,1
2020-08-27,16:00:00,35,1
2020-08-27,16:30:00,35,1
2020-08-27,17:00:00,35,1
2020-08-27,17:30:00,35,1
2020-08-27,18:00:00,35,1
2020-08-28,08:00:00,35,1
2020-08-28,08:30:00,35,1
2020-08-28,09:00:00,35,1
2020-08-28,09:30:00,35,1
2020-08-28,10:00:00,35,1
2020-08-28,10:30:00,35,1
